Rank,University,Location
948,A.T. Still University,Kirksville ...
507,Abilene Christian University,Abilene
1336,Abraham Baldwin Agricultural College,Tifton
339,Academy of Art University,San Francisco
944,Adams State University,Alamosa
460,Adelphi University,Garden City
1606,Adler Graduate School,Richfield
1246,Adler University,Chicago ...
1153,Adrian College,Adrian
1339,Adventist University of Health Sciences,Orlando
556,Agnes Scott College,Decatur
1456,Air Force Institute of Technology,Wright-Patterson AFB
773,Alabama A&M University,Normal
858,Alabama State University,Montgomery
1691,Alaska Bible College,Palmer
1148,Alaska Pacific University,Anchorage
1316,Albany College of Pharmacy and Health Sciences,Albany
1410,Albany Law School,Albany
753,Albany Medical College,Albany
1303,Albany State University,Albany
1458,Albertus Magnus College,New Haven
710,Albion College,Albion
1263,Albright College,Reading
986,Alcorn State University,Lorman
1439,Alderson Broaddus University,Philippi
1010,Alfred State College,Alfred
643,Alfred University,Alfred
1499,Alice Lloyd College,Pippa Passes
949,Allegheny College,Meadville
1690,Allen College,Waterloo
1615,Allen University,Columbia
805,Alliant International University,San Diego ...
977,Alma College,Alma
741,Alvernia University,Reading
960,Alverno College,Milwaukee
1610,Amberton University,Garland
1781,American Baptist College,Nashville
Un,American Film Institute Conservatory,Los Angeles
1110,American International College,Springfield
1385,American Jewish University,Los Angeles ...
120,American University,Washington
237,Amherst College,Amherst
1393,Anderson University,Anderson
901,"Anderson University, Indiana",Anderson
423,Andrews University,Berrien Springs
584,Angelo State University,San Angelo
1574,Anna Maria College,Paxton
490,Antioch University,Yellow Springs ...
Un,Antioch University Los Angeles,Culver City
Un,Antioch University New England,Keene
Un,Antioch University Santa Barbara,Santa Barbara
Un,Antioch University Seattle,Seattle
1634,Appalachian Bible College,Mount Hope
1697,Appalachian College of Pharmacy,Oakwood
204,Appalachian State University,Boone
1002,Aquinas College,Grand Rapids
1668,"Aquinas College, Tennessee",Nashville
626,Arcadia University,Glenside
713,Argosy University,Orange ...
1699,Arizona Christian University,Phoenix
27,Arizona State University,Tempe ...
1677,Arkansas Baptist College,Little Rock
421,Arkansas State University,Jonesboro
621,Arkansas Tech University,Russellville
1735,Arlington Baptist University,Arlington
494,Armstrong State University,Savannah
1545,Art Academy of Cincinnati,Cincinnati
400,ArtCenter College of Design,Pasadena
1130,Asbury University,Wilmore
611,Ashland University,Ashland
769,Assumption College,Worcester
915,Athens State University,Athens
1669,Atlanta Metropolitan State College,Atlanta
123,Auburn University,Auburn
870,Auburn University at Montgomery,Montgomery
543,Augsburg College,Minneapolis
412,Augusta University,Augusta
553,Augustana College,Rock Island
779,Augustana University,Sioux Falls
790,Aurora University,Aurora ...
941,Austin College,Sherman
550,Austin Peay State University,Clarksville
1288,Ave Maria University,Ave Maria
1297,Averett University,Danville ...
1421,Avila University,Kansas City
416,Azusa Pacific University,Azusa
281,Babson College,Babson Park
1592,Bacone College,Muskogee
540,Baker College,Flint ...
969,Baker University,Baldwin City
624,Baldwin Wallace University,Berea
194,Ball State University,Muncie
1131,Bank Street College of Education,New York City
1783,Baptist Bible College,Springfield
1693,Baptist Memorial College of Health Sciences,Memphis
1794,Baptist University of the Americas,San Antonio
1652,Barclay College,Haviland
318,Bard College,Annandale-on-Hudson
1060,Bard College at Simon's Rock,Great Barrington
488,Barnard College,New York City
1675,Barnes-Jewish College Goldfarb School of Nursing,St. Louis
623,Barry University,Miami ...
1504,Barton College,Wilson
586,Bastyr University,Kenmore
403,Bates College,Lewiston
1034,Bay Path University,Longmeadow
1646,Bay State College,Boston ...
231,Baylor College of Medicine,Houston
128,Baylor University,Waco
1549,Beacon College,Leesburg
1237,Becker College,Worcester ...
1205,Belhaven University,Jackson
640,Bellarmine University,Louisville
576,Bellevue College,Bellevue
658,Bellevue University,Bellevue ...
1764,Bellin College,Green Bay
1278,Belmont Abbey College,Belmont
463,Belmont University,Nashville
502,Beloit College,Beloit
875,Bemidji State University,Bemidji
1388,Benedict College,Columbia
1087,Benedictine College,Atchison
801,Benedictine University,Lisle
1442,Benjamin Franklin Institute of Technology,Boston
1307,Bennett College,Greensboro
866,Bennington College,Bennington
349,Bentley University,Waltham
663,Berea College,Berea
788,Berkeley College,New York City ...
193,Berklee College of Music,Boston
495,"Bernard M Baruch College, CUNY",New York City
752,Berry College,Mount Berry
1483,Bethany College,Bethany
1588,"Bethany College, Kansas",Lindsborg
1314,Bethany Lutheran College,Mankato
1164,Bethel College,North Newton
1390,Bethel College-Indiana,Mishawaka
561,Bethel University,St. Paul ...
1695,"Bethel University, Tennessee",McKenzie
1803,Bethesda University,Anaheim
1032,Bethune-Cookman University,Daytona Beach
1760,Beulah Heights University,Atlanta
148,"Binghamton University, State University of New York",Vestal
341,Biola University,La Mirada
1095,Birmingham-Southern College,Birmingham
1120,Bismarck State College,Bismarck
919,Black Hills State University,Spearfish
1552,Blackburn College,Carlinville
1755,Blessing-Rieman College of Nursing,Quincy
1064,Bloomfield College,Bloomfield
528,Bloomsburg University of Pennsylvania,Bloomsburg
1641,Blue Mountain College,Blue Mountain
1481,Bluefield College,Bluefield
1534,Bluefield State College,Bluefield
555,Bluffton University,Bluffton
791,Bob Jones University,Greenville
1752,Boise Bible College,Boise
206,Boise State University,Boise
1721,Boricua College,New York City
882,Boston Architectural College,Boston
98,Boston College,Chestnut Hill
1665,Boston Graduate School of Psychoanalysis,Brookline ...
34,Boston University,Boston ...
288,Bowdoin College,Brunswick
830,Bowie State University,Bowie
197,Bowling Green State University,Bowling Green ...
384,Bradley University,Peoria
145,Brandeis University,Waltham
972,Brandman University,Irvine
1543,Brazosport College,Lake Jackson
1081,Brenau University,Gainesville
1428,Brescia University,Owensboro
1371,Brevard College,Brevard
1707,Brewton-Parker College,Mount Vernon
1425,Briar Cliff University,Sioux City
1742,Briarcliffe College,Bethpage
1033,Bridgewater College,Bridgewater
431,Bridgewater State University,Bridgewater
64,Brigham Young University,Provo
770,Brigham Young University-Hawaii,Laie
269,Brigham Young University-Idaho,Rexburg
523,Brooklyn College,Brooklyn
934,Brooklyn Law School,Brooklyn
498,Broward College,Fort Lauderdale
1266,Brown Mackie College,Salina ...
67,Brown University,Providence
1343,Bryan College,Dayton ...
1798,Bryan College of Health Sciences,Lincoln
1200,Bryant and Stratton College,Buffalo ...
620,Bryant University,Smithfield
1583,Bryn Athyn College,Bryn Athyn
254,Bryn Mawr College,Bryn Mawr
